Date,Open,High,Low,Close*,Adj Close**,Volume
"November 16, 2023",34868.03,35022.46,34818.03,34945.47,34945.47,436835917.00
"October 31, 2023",33081.87,35051.10,33010.85,34991.21,34991.21,3299400000.00
"September 30, 2023",33455.50,34147.63,32327.20,33052.87,33052.87,6689000000.00
"August 31, 2023",34876.24,34979.18,33306.30,33507.50,33507.50,6186180000.00
"July 31, 2023",35585.99,35679.13,34029.22,34721.91,34721.91,7048360000.00
"June 30, 2023",34369.78,35645.35,33705.68,35559.53,35559.53,6364870000.00
"May 31, 2023",32929.85,34588.68,32704.51,34407.60,34407.60,6973110000.00
"April 30, 2023",34116.81,34257.83,32586.56,32908.27,32908.27,6622820000.00
"March 31, 2023",33245.78,34104.56,33235.85,34098.16,34098.16,5336390000.00
"March 1, 2023",32656.37,33572.22,31429.82,33274.15,33274.15,8080340000.00
"February 1, 2023",34039.60,34334.70,32636.43,32656.70,32656.70,6105230000.00
"January 1, 2023",33148.90,34342.32,32812.33,34086.04,34086.04,6774530000.00
"December 1, 2022",34533.59,34712.28,32573.43,33147.25,33147.25,6980640000.00